Season,Name,Team,playerid
2003,Guillermo Mota,Dodgers,1467
2012,Joe Nathan,Rangers,1122
2002,Mike Remlinger,Braves,111
2001,Steve Karsay,- - -,829
2002,Billy Wagner,Astros,578
2001,Keith Foulke,White Sox,231
2008,Joe Nathan,Twins,1122
2011,Jordan Walden,Angels,3271
2011,Kameron Loe,Brewers,4422
2001,Kyle Farnsworth,Cubs,278
2010,Rafael Soriano,Rays,1100
2010,Mariano Rivera,Yankees,844
2013,Craig Stammen,Nationals,7274
2004,Akinori Otsuka,Padres,1895
2003,Brian Shouse,Rangers,630
2004,Mariano Rivera,Yankees,844
2015,Mark Melancon,Pirates,4264
2003,Terry Adams,Phillies,946
2007,Russ Springer,Cardinals,1652
2014,Fernando Rodney,Mariners,494
2016,Tyler Thornburg,Brewers,10688
2005,Justin Duchscherer,Athletics,910
2013,David Carpenter,Braves,3959
2006,Juan Rincon,Twins,752
2013,Fernando Rodney,Rays,494
2014,Brad Boxberger,Rays,10133
2008,Ramon Ramirez,Royals,7986
1999,Keith Foulke,White Sox,231
2006,Mariano Rivera,Yankees,844
2015,Tony Watson,Pirates,3132
2006,Billy Wagner,Mets,578
2002,Steve Reed,- - -,1053
2002,Paul Quantrill,Dodgers,669
2013,Sergio Romo,Giants,9817
1997,Mark Wohlers,Braves,414
2014,Joe Smith,Angels,3281
2007,Matt Lindstrom,Marlins,4604
2016,Liam Hendriks,Athletics,3548
2001,Jason Isringhausen,Athletics,1158
2015,Luke Gregerson,Astros,4090
2016,Ken Giles,Astros,12910
2001,Josias Manzanillo,Pirates,996
2010,Luke Gregerson,Padres,4090
2010,Juan Oviedo,Marlins,2886
2014,Danny Farquhar,Mariners,8501
2010,Clay Hensley,Marlins,4593
2005,Scot Shields,Angels,35
2011,Sergio Santos,White Sox,4734
2013,Joaquin Benoit,Tigers,1437
2009,Joe Nathan,Twins,1122
2013,Brett Cecil,Blue Jays,2660
2009,Mariano Rivera,Yankees,844
2013,J.P. Howell,Dodgers,8245
2013,Jamey Wright,Rays,715
2015,Blaine Hardy,Tigers,6499
2012,Ryan Cook,Athletics,8855
2014,Adam Warren,Yankees,9029
2012,Tom Wilhelmsen,Mariners,9975
2009,C.J. Wilson,Rangers,3580
2012,Jonathan Papelbon,Phillies,5975
2016,A.J. Ramos,Marlins,8350
2002,Scott Sauerbeck,Pirates,1007
2011,Joe Smith,Indians,3281
2015,Kevin Siegrist,Cardinals,8180
1999,Mariano Rivera,Yankees,844
2016,Brad Brach,Orioles,6627
1997,Jeff Shaw,Reds,1011823
2004,Julian Tavarez,Cardinals,541
2003,Paul Quantrill,Dodgers,669
2003,Joe Borowski,Cubs,267
2002,Kazuhiro Sasaki,Mariners,1098
2002,Buddy Groom,Orioles,143
2016,Nate Jones,White Sox,4696
2003,Francisco Cordero,Rangers,1243
2009,Huston Street,Rockies,8258
2015,Sam Dyson,- - -,11710
2014,David Carpenter,Braves,3959
2011,Ramon Ramirez,Giants,7986
2011,David Hernandez,Diamondbacks,4259
2001,Jeff Fassero,Cubs,279
2014,Junichi Tazawa,Red Sox,4079
1999,Roberto Hernandez,Devil Rays,605
2004,Rafael Betancourt,Indians,177
2004,Scot Shields,Angels,35
2009,Peter Moylan,Braves,4891
2011,Burke Badenhop,Marlins,9736
1999,Ugueth Urbina,Expos,216
2010,Sergio Romo,Giants,9817
2005,Neal Cotts,White Sox,1797
2016,Joe Biagini,Blue Jays,13194
2012,Aaron Crow,Royals,10149
1997,Mariano Rivera,Yankees,844
2011,Daniel Bard,Red Sox,7115
2011,Joaquin Benoit,Tigers,1437
2012,Darren O'Day,Orioles,3321
2013,Luke Hochevar,Royals,6943
2010,Neftali Feliz,Rangers,18
2013,Sam LeCure,Reds,4664
2016,Zach Duke,- - -,3840
2003,Scott Schoeneweis,- - -,33
2012,Matt Belisle,Rockies,1837
1997,Mike Jackson,Indians,732
1998,Chuck McElroy,Rockies,1008477
2005,Chris Reitsma,Braves,348
2010,Joba Chamberlain,Yankees,2692
2003,Rheal Cormier,Phillies,952
2001,Mike Stanton,Yankees,849
2014,Cody Allen,Indians,12183
2014,Trevor Rosenthal,Cardinals,10745
2013,Cody Allen,Indians,12183
2013,Dane de la Rosa,Angels,10095
2012,Bobby Parnell,Mets,9926
2009,Juan Gutierrez,Diamondbacks,3265
2005,Scott Eyre,Giants,1300
2015,A.J. Ramos,Marlins,8350
2007,Rafael Perez,Indians,4078
2002,Mike Koplove,Diamondbacks,63
2009,David Aardsma,Mariners,1902
2010,Jonathan Broxton,Dodgers,4759
2003,Matt Herges,- - -,780
2015,Roberto Osuna,Blue Jays,13764
2004,Jason Isringhausen,Cardinals,1158
2004,Ryan Madson,Phillies,1852
2011,Koji Uehara,- - -,9227
2012,Grant Balfour,Athletics,718
1998,Kerry Ligtenberg,Braves,100
