Season,Name,Team,playerid
2014,Jonathan Papelbon,Phillies,5975
2010,Joakim Soria,Royals,6941
2015,Travis Wood,Cubs,9884
2006,Chad Bradford,Mets,904
2011,Eric O'Flaherty,Braves,5746
2013,Brandon Kintzler,Brewers,9939
2009,Rafael Soriano,Braves,1100
2011,J.J. Putz,Diamondbacks,1795
2011,Brad Ziegler,- - -,7293
2009,Andrew Bailey,Athletics,1368
2015,Joe Blanton,- - -,4849
2014,Chris Hatcher,Marlins,3299
2007,Bobby Jenks,White Sox,8645
2009,Kiko Calero,Marlins,1676
2015,Shawn Kelley,Padres,7773
2015,Mark Lowe,- - -,7416
2007,Takashi Saito,Dodgers,6021
2003,B.J. Ryan,Orioles,168
2005,Rafael Betancourt,Indians,177
2002,Chad Bradford,Athletics,904
2002,Brendan Donnelly,Angels,1441
2010,Bobby Jenks,White Sox,8645
2010,Wilton Lopez,Astros,4227
2010,Hisanori Takahashi,Mets,10091
2010,Ryan Madson,Phillies,1852
2013,David Robertson,Yankees,8241
2010,Joel Hanrahan,Pirates,2186
2002,Antonio Osuna,White Sox,249
2011,Matt Thornton,White Sox,1918
2006,Huston Street,Athletics,8258
2002,Alan Embree,- - -,1030
2010,Francisco Rodriguez,Mets,1642
2009,Trevor Hoffman,Brewers,1035
2015,Keone Kela,Rangers,14696
2013,Nate Jones,White Sox,4696
2010,Darren Oliver,Rangers,206
2007,Mariano Rivera,Yankees,844
2014,Jake Diekman,Phillies,5003
2007,Joe Nathan,Twins,1122
2014,Kevin Quackenbush,Padres,12360
2014,Pedro Strop,Cubs,4070
2007,J.J. Putz,Mariners,1795
2011,Vinnie Pestano,Indians,4782
2005,Billy Wagner,Phillies,578
2003,Byung-Hyun Kim,Red Sox,61
2004,Giovanni Carrara,Dodgers,643
2010,Matt Belisle,Rockies,1837
2015,Hector Rondon,Cubs,2391
2015,Craig Kimbrel,Padres,6655
2010,Grant Balfour,Rays,718
2014,David Robertson,Yankees,8241
2002,Byung-Hyun Kim,Diamondbacks,61
2014,Kelvin Herrera,Royals,6033
2015,Justin Wilson,Yankees,4301
2014,Tony Watson,Pirates,3132
2010,Jonny Venters,Braves,7175
2003,Tom Gordon,White Sox,282
2005,Mike Timlin,Red Sox,1187
2012,Sergio Romo,Giants,9817
2013,Luke Gregerson,Padres,4090
2012,Wilton Lopez,Astros,4227
2012,Kelvin Herrera,Royals,6033
2007,Francisco Rodriguez,Angels,1642
2003,Billy Wagner,Astros,578
2002,Mike Crudale,Cardinals,1148
2014,Drew Storen,Nationals,6983
2016,Jim Johnson,Braves,3656
2013,Sean Doolittle,Athletics,1581
2011,Francisco Rodriguez,- - -,1642
2004,John Smoltz,Braves,115
2007,Carlos Marmol,Cubs,2790
2006,Francisco Rodriguez,Angels,1642
2013,Steve Delabar,Blue Jays,11827
2002,Darren Holmes,Braves,95
2012,Scott Atchison,Red Sox,2642
2012,Kris Medlen,Braves,9417
2007,Jonathan Broxton,Dodgers,4759
2010,Sean Burnett,Nationals,1886
2003,Damaso Marte,White Sox,247
2012,Jeremy Affeldt,Giants,583
2016,Juan Nicasio,Pirates,7731
2005,Jose Valverde,Diamondbacks,1726
2013,Ryan Cook,Athletics,8855
2015,Jeurys Familia,Mets,5114
2004,Trevor Hoffman,Padres,1035
2009,Joakim Soria,Royals,6941
2002,Chris Hammond,Braves,92
2007,Huston Street,Athletics,8258
2016,Matt Bush,Rangers,1246
2013,Will Harris,Diamondbacks,3192
2013,Casey Janssen,Blue Jays,7355
2016,David Phelps,Marlins,6316
2008,Matt Thornton,White Sox,1918
2002,Damaso Marte,White Sox,247
2014,Tyler Clippard,Nationals,5640
2005,Kyle Farnsworth,- - -,278
2005,Huston Street,Athletics,8258
2002,Scott Stewart,Expos,797
2005,Scott Linebrink,Padres,564
2002,LaTroy Hawkins,Twins,729
2008,Chad Qualls,Diamondbacks,2170
2014,Jerry Blevins,Nationals,7841
2014,Nick Vincent,Padres,7555
2011,Darren Oliver,Rangers,206
2011,Jonny Venters,Braves,7175
2006,Akinori Otsuka,Rangers,1895
2014,Kevin Jepsen,Angels,6475
2011,Brandon League,Mariners,3731
2012,Wade Davis,Rays,7441
2003,Guillermo Mota,Dodgers,1467
2002,Ricardo Rincon,- - -,401
2012,Joe Nathan,Rangers,1122
2002,Mike Remlinger,Braves,111
2006,Justin Duchscherer,Athletics,910
2015,Drew Storen,Nationals,6983
2002,Billy Wagner,Astros,578
2008,Joe Nathan,Twins,1122
2014,Jordan Walden,Braves,3271
2011,Jordan Walden,Angels,3271
2012,Sean Burnett,Nationals,1886
2014,Huston Street,- - -,8258
2011,Kameron Loe,Brewers,4422
2012,Jason Grilli,Pirates,521
2010,Rafael Soriano,Rays,1100
2007,Zack Greinke,Royals,1943
2010,Mariano Rivera,Yankees,844
2013,Craig Stammen,Nationals,7274
2004,Akinori Otsuka,Padres,1895
2003,Brian Shouse,Rangers,630
2004,Mariano Rivera,Yankees,844
2015,Mark Melancon,Pirates,4264
2010,Ryan Webb,Padres,7474
2003,Terry Adams,Phillies,946
2007,Russ Springer,Cardinals,1652
2014,Fernando Rodney,Mariners,494
2016,Tyler Thornburg,Brewers,10688
2005,Justin Duchscherer,Athletics,910
2002,Gabe White,Reds,360
2013,David Carpenter,Braves,3959
2006,Juan Rincon,Twins,752
2013,Fernando Rodney,Rays,494
2014,Brad Boxberger,Rays,10133
2008,Ramon Ramirez,Royals,7986
2006,Mariano Rivera,Yankees,844
2015,Tony Watson,Pirates,3132
2006,Billy Wagner,Mets,578
2002,Steve Reed,- - -,1053
2002,Paul Quantrill,Dodgers,669
2013,Sergio Romo,Giants,9817
2015,Juan Nicasio,Dodgers,7731
2006,Bob Wickman,- - -,413
2006,Michael Gonzalez,Pirates,1794
2014,Joe Smith,Angels,3281
2007,Matt Lindstrom,Marlins,4604
2016,Liam Hendriks,Athletics,3548
2015,Luke Gregerson,Astros,4090
2016,Ken Giles,Astros,12910
2009,Kevin Jepsen,Angels,6475
2014,Jeremy Affeldt,Giants,583
2010,Luke Gregerson,Padres,4090
2010,Juan Oviedo,Marlins,2886
2014,Danny Farquhar,Mariners,8501
2010,Clay Hensley,Marlins,4593
2014,Tim Stauffer,Padres,6432
2005,Scot Shields,Angels,35
2011,Sergio Santos,White Sox,4734
2004,Matt Miller,Indians,1754
2013,Joaquin Benoit,Tigers,1437
2006,Dennys Reyes,Twins,444
2009,Joe Nathan,Twins,1122
2013,Brett Cecil,Blue Jays,2660
2007,Brett Myers,Phillies,962
2009,Mariano Rivera,Yankees,844
2013,J.P. Howell,Dodgers,8245
2013,Jamey Wright,Rays,715
2014,Evan Marshall,Diamondbacks,12297
2015,Blaine Hardy,Tigers,6499
2012,Ryan Cook,Athletics,8855
2014,Adam Warren,Yankees,9029
2012,Tom Wilhelmsen,Mariners,9975
2009,C.J. Wilson,Rangers,3580
2009,Kris Medlen,Braves,9417
2012,Jonathan Papelbon,Phillies,5975
2016,A.J. Ramos,Marlins,8350
2002,Scott Sauerbeck,Pirates,1007
2015,Hunter Strickland,Giants,7836
2012,Sam LeCure,Reds,4664
2011,Joe Smith,Indians,3281
2015,Francisco Rodriguez,Brewers,1642
2015,Kevin Siegrist,Cardinals,8180
2013,Brian Matusz,Orioles,2646
2016,Ian Krol,Braves,10066
2003,Jose Valverde,Diamondbacks,1726
2016,Alex Colome,Rays,6661
2009,Rafael Betancourt,- - -,177
2016,Brad Brach,Orioles,6627
2012,Brian Duensing,Twins,4064
2016,Craig Kimbrel,Red Sox,6655
2004,Julian Tavarez,Cardinals,541
2014,Fernando Salas,Angels,4971
2003,Paul Quantrill,Dodgers,669
2003,Joe Borowski,Cubs,267
2002,Kazuhiro Sasaki,Mariners,1098
2006,Cla Meredith,Padres,7613
2002,Buddy Groom,Orioles,143
2015,Tony Sipp,Astros,8280
2016,Nate Jones,White Sox,4696
2003,Francisco Cordero,Rangers,1243
2014,Tony Sipp,Astros,8280
2009,Huston Street,Rockies,8258
2015,Sam Dyson,- - -,11710
2014,David Carpenter,Braves,3959
2011,Ramon Ramirez,Giants,7986
2011,David Hernandez,Diamondbacks,4259
2014,Carlos Martinez,Cardinals,11682
2010,Jon Rauch,Twins,1475
2014,Junichi Tazawa,Red Sox,4079
2007,Trevor Hoffman,Padres,1035
2004,Rafael Betancourt,Indians,177
2004,Scot Shields,Angels,35
2009,Peter Moylan,Braves,4891
2011,Burke Badenhop,Marlins,9736
2010,Sergio Romo,Giants,9817
2014,Ryan Webb,Orioles,7474
2012,Darren Oliver,Blue Jays,206
2005,Neal Cotts,White Sox,1797
2016,Joe Biagini,Blue Jays,13194
2012,Aaron Crow,Royals,10149
2010,Andrew Bailey,Athletics,1368
2011,Daniel Bard,Red Sox,7115
2011,Joaquin Benoit,Tigers,1437
2012,Darren O'Day,Orioles,3321
2013,Luke Hochevar,Royals,6943
2010,Neftali Feliz,Rangers,18
2013,Sam LeCure,Reds,4664
2006,Jason Davis,Indians,1598
2016,Zach Duke,- - -,3840
2005,Ryan Dempster,Cubs,517
2003,Scott Schoeneweis,- - -,33
2012,Matt Belisle,Rockies,1837
2016,Alex Claudio,Rangers,12890
2016,Shawn Kelley,Nationals,7773
2006,Kiko Calero,Athletics,1676
2006,Alan Embree,Padres,1030
2005,Chris Reitsma,Braves,348
2010,Joba Chamberlain,Yankees,2692
2003,Rheal Cormier,Phillies,952
2012,Brayan Villarreal,Tigers,5180
2007,Randy Flores,Cardinals,1446
2014,Cody Allen,Indians,12183
2014,Trevor Rosenthal,Cardinals,10745
2016,Luke Gregerson,Astros,4090
2013,Cody Allen,Indians,12183
2013,Dane de la Rosa,Angels,10095
2012,Bobby Parnell,Mets,9926
2009,Jason Frasor,Blue Jays,1906
2014,Carlos Villanueva,Cubs,4138
2009,Juan Gutierrez,Diamondbacks,3265
2005,Scott Eyre,Giants,1300
2015,A.J. Ramos,Marlins,8350
2007,Rafael Perez,Indians,4078
2002,Mike Koplove,Diamondbacks,63
2013,Jesse Chavez,Athletics,5448
2009,David Aardsma,Mariners,1902
2010,Jonathan Broxton,Dodgers,4759
2006,Manny Delcarmen,Red Sox,3180
2014,Shawn Kelley,Yankees,7773
2010,Joel Peralta,Nationals,2332
2003,Matt Herges,- - -,780
2015,Roberto Osuna,Blue Jays,13764
2015,Cesar Ramos,Angels,3357
2004,Jason Isringhausen,Cardinals,1158
2004,Ryan Madson,Phillies,1852
2011,Koji Uehara,- - -,9227
2012,Jonathan Broxton,- - -,4759
2015,Addison Reed,- - -,10586
2012,Grant Balfour,Athletics,718
2010,Kevin Jepsen,Angels,6475
2009,Darren O'Day,- - -,3321
2010,Scott Downs,Blue Jays,773
2003,Jeff Nelson,- - -,1092
2002,Troy Percival,Angels,29
2013,Matt Belisle,Rockies,1837
2007,Lee Gardner,Marlins,1448
2012,Dale Thayer,Padres,5032
2015,Yimi Garcia,Dodgers,12095
2013,Mariano Rivera,Yankees,844
2013,Jose Mijares,Giants,4140
2013,Jonathan Papelbon,Phillies,5975
2002,J.C. Romero,Twins,754
2015,Junichi Tazawa,Red Sox,4079
2002,Jay Witasick,Giants,1138
2009,Jonathan Papelbon,Red Sox,5975
2015,Zach McAllister,Indians,2895
2003,Kyle Farnsworth,Cubs,278
2007,Justin Miller,Marlins,1313
2013,LaTroy Hawkins,Mets,729
2014,Mike Dunn,Marlins,9948
2010,Kyle Farnsworth,- - -,278
2013,Charlie Furbush,Mariners,1370
2011,Matt Belisle,Rockies,1837
2016,Ryan Buchter,Padres,9456
2014,Jeurys Familia,Mets,5114
2003,Matt Mantei,Diamondbacks,64
2016,Brad Hand,Padres,9111
2014,Dominic Leone,Mariners,13763
2004,Braden Looper,Mets,526
2013,Bryan Shaw,Indians,8110
2005,Bob Howry,Indians,237
2014,Burke Badenhop,Red Sox,9736
2014,Scott Atchison,Indians,2642
2014,Zach Putnam,White Sox,9080
2012,Casey Janssen,Blue Jays,7355
2014,Mike Morin,Angels,13442
2015,Fernando Rodriguez,Athletics,7558
2004,Kevin Gregg,Angels,1793
2014,Rafael Soriano,Nationals,1100
2013,Paco Rodriguez,Dodgers,13398
2014,Koji Uehara,Red Sox,9227
2015,Ryan Madson,Royals,1852
2007,Billy Wagner,Mets,578
2005,Francisco Rodriguez,Angels,1642
2012,Rafael Betancourt,Rockies,177
2012,Ronald Belisario,Dodgers,2203
2012,Jose Mijares,- - -,4140
2002,Paul Shuey,- - -,406
2009,Francisco Cordero,Reds,1243
2010,Sergio Santos,White Sox,4734
2008,Jose Arredondo,Angels,4722
2014,Glen Perkins,Twins,8041
2014,Antonio Bastardo,Phillies,8844
2014,Adam Ottavino,Rockies,1247
2016,Brad Ziegler,- - -,7293
2011,Santiago Casilla,Giants,2873
2002,Scott Williamson,Reds,361
2002,Cliff Politte,- - -,967
2016,Jose Alvarez,Angels,5358
2014,Justin De Fratus,Phillies,4955
2015,Justin Grimm,Cubs,11720
2005,Al Reyes,Cardinals,1005
2010,Frank Francisco,Rangers,1933
2013,Mike Dunn,Marlins,9948
2012,Jason Motte,Cardinals,5861
2011,Chris Sale,White Sox,10603
2008,Mike Adams,Padres,1937
2014,Zach Britton,Orioles,3240
2014,Chad Qualls,Astros,2170
2006,Jonathan Broxton,Dodgers,4759
2009,Chad Qualls,Diamondbacks,2170
2011,Marc Rzepczynski,- - -,6612
2012,Joel Peralta,Rays,2332
2005,Michael Gonzalez,Pirates,1794
2013,Matt Lindstrom,White Sox,4604
2014,Tommy Hunter,Orioles,1157
2015,Joe Smith,Angels,3281
2015,Fernando Salas,Angels,4971
2013,Adam Ottavino,Rockies,1247
2014,Jenrry Mejia,Mets,8476
2005,Francisco Cordero,Rangers,1243
2010,Santiago Casilla,Giants,2873
2011,Javier Lopez,Giants,1663
2004,Keith Foulke,Red Sox,231
2011,Fernando Salas,Cardinals,4971
2013,Casey Fien,Twins,3926
2012,Cristhian Martinez,Braves,5337
2016,Hunter Strickland,Giants,7836
2015,Pedro Strop,Cubs,4070
2007,Matt Capps,Pirates,4788
2014,Joba Chamberlain,Tigers,2692
2011,Kyle Farnsworth,Rays,278
2014,Randall Delgado,Diamondbacks,5985
2009,Brad Ziegler,Athletics,7293
2008,Carlos Villanueva,Brewers,4138
2012,Glen Perkins,Twins,8041
2008,Will Ohman,Braves,296
2007,Joaquin Benoit,Rangers,1437
2007,Jason Frasor,Blue Jays,1906
2015,Michael Blazek,Brewers,9654
2011,Tyler Clippard,Nationals,5640
2013,Addison Reed,White Sox,10586
2013,Robbie Ross Jr.,Rangers,6819
2010,Tyler Clippard,Nationals,5640
2008,Frank Francisco,Rangers,1933
2002,John Halama,Mariners,1080
2016,Justin Wilson,Tigers,4301
2004,Luis Ayala,Expos,1650
2014,Santiago Casilla,Giants,2873
2016,A.J. Schugel,Pirates,11432
2012,Matt Thornton,White Sox,1918
2014,Craig Stammen,Nationals,7274
2009,Burke Badenhop,Marlins,9736
2009,Joel Hanrahan,- - -,2186
2012,Brandon League,- - -,3731
2004,Trever Miller,Devil Rays,1672
2012,Alfredo Simon,Reds,2155
2016,Mike Montgomery,- - -,4869
2005,Jay Witasick,- - -,1138
2002,Luis Vizcaino,Brewers,714
2011,Edward Mujica,Marlins,3970
2005,Derrick Turnbow,Brewers,1694
2016,Roberto Osuna,Blue Jays,13764
2013,Tony Watson,Pirates,3132
2006,Bobby Jenks,White Sox,8645
2014,Justin Grimm,Cubs,11720
2014,Anthony Varvaro,Braves,2385
2016,Raisel Iglesias,Reds,17130
2009,Arthur Rhodes,Reds,1097
2014,A.J. Ramos,Marlins,8350
2011,Bobby Parnell,Mets,9926
2012,Brad Ziegler,Diamondbacks,7293
2009,George Sherrill,- - -,6291
2002,Keith Foulke,White Sox,231
2008,Francisco Rodriguez,Angels,1642
2012,Steve Cishek,Marlins,6483
2010,Pedro Feliciano,Mets,1601
2015,Jeremy Jeffress,Brewers,9490
2011,Jim Johnson,Orioles,3656
2013,Junichi Tazawa,Red Sox,4079
2008,Rafael Perez,Indians,4078
2012,Brandon Lyon,- - -,1312
2002,Tim Worrell,Giants,1139
2009,Ryan Madson,Phillies,1852
2002,Scott Eyre,- - -,1300
2009,Nick Masset,Reds,7267
2011,Octavio Dotel,- - -,555
2010,Matt Capps,- - -,4788
2003,Eddie Guardado,Twins,727
2011,Heath Bell,Padres,2080
2005,Mike MacDougal,Royals,612
2002,Joe Borowski,Cubs,267
2014,Oliver Perez,Diamondbacks,1514
2013,A.J. Ramos,Marlins,8350
2011,Henry Rodriguez,Nationals,6371
2008,Jason Grilli,- - -,521
2016,Michael Feliz,Astros,11903
2007,Scott Downs,Blue Jays,773
2008,Damaso Marte,- - -,247
2010,Arthur Rhodes,Reds,1097
2014,Luke Gregerson,Athletics,4090
2013,Brian Duensing,Twins,4064
2006,Dan Wheeler,Astros,120
2003,Antonio Osuna,Yankees,249
2008,Joakim Soria,Royals,6941
2013,Josh Outman,Rockies,4004
2010,Phil Coke,Tigers,5535
2003,Chris Hammond,Yankees,92
2014,Will Smith,Brewers,8048
2011,Mark Melancon,Astros,4264
2014,Fernando Abad,Athletics,4994
2015,Jeanmar Gomez,Phillies,9033
2012,Jim Johnson,Orioles,3656
2013,Oliver Perez,Mariners,1514
2012,Troy Patton,Orioles,8368
2010,Drew Storen,Nationals,6983
2012,Ryan Webb,Marlins,7474
2005,Doug Brocail,Rangers,551
2011,Rich Thompson,Angels,6422
2012,Eric O'Flaherty,Braves,5746
2008,Matt Lindstrom,Marlins,4604
2003,Arthur Rhodes,Mariners,1097
2006,Scot Shields,Angels,35
2010,Jose Contreras,Phillies,1660
2016,Robbie Ross Jr.,Red Sox,6819
2003,Tim Worrell,Giants,1139
2004,Ray King,Cardinals,693
2013,Anthony Swarzak,Twins,7466
2007,Justin Hampson,Padres,2209
2008,LaTroy Hawkins,- - -,729
2013,Luis Avilan,Braves,2882
2005,Dan Wheeler,Astros,120
2011,Ernesto Frieri,Padres,5178
2016,Justin Grimm,Cubs,11720
2008,Matt Capps,Pirates,4788
2014,Dan Otero,Athletics,7385
2005,Michael Wuertz,Cubs,1856
2016,Jeremy Jeffress,- - -,9490
2006,Aaron Heilman,Mets,1751
2011,Aroldis Chapman,Reds,10233
2009,Darren Oliver,Angels,206
2011,Scott Downs,Angels,773
2012,Rex Brothers,Rockies,9794
2010,Jason Motte,Cardinals,5861
2003,Scot Shields,Angels,35
2005,Jeff Fassero,Giants,279
2004,Armando Benitez,Marlins,865
2008,Chris Sampson,Astros,2651
2011,Rafael Perez,Indians,4078
2008,Joe Beimel,Dodgers,979
2014,J.P. Howell,Dodgers,8245
2016,Hector Neris,Phillies,11804
2007,Eric Gagne,- - -,650
2011,Antonio Bastardo,Phillies,8844
2011,Matt Lindstrom,Rockies,4604
2013,Vin Mazzaro,Pirates,5231
2006,Adam Wainwright,Cardinals,2233
2016,Mychal Givens,Orioles,10430
2016,Cody Allen,Indians,12183
2016,Matt Bowman,Cardinals,13528
2009,Ryan Franklin,Cardinals,1076
2015,Brandon Maurer,Padres,4878
2010,Jason Frasor,Blue Jays,1906
2012,Tyler Clippard,Nationals,5640
2012,Rafael Soriano,Yankees,1100
2011,Drew Storen,Nationals,6983
2003,Octavio Dotel,Astros,555
2008,Manny Delcarmen,Red Sox,3180
2014,Darren O'Day,Orioles,3321
2013,Aaron Loup,Blue Jays,10343
2013,Chad Qualls,Marlins,2170
2004,Randy Choate,Diamondbacks,813
2003,Brad Lidge,Astros,563
2008,Ryan Madson,Phillies,1852
2003,David Riske,Indians,402
2015,Antonio Bastardo,Pirates,8844
2016,Kyle Ryan,Tigers,11753
2007,Hideki Okajima,Red Sox,7763
2015,Tom Wilhelmsen,Mariners,9975
2008,Taylor Buchholz,Rockies,2168
2002,Ugueth Urbina,Red Sox,216
2012,Craig Breslow,- - -,4363
2007,Vinnie Chulk,Giants,1838
2016,Joe Blanton,Dodgers,4849
2011,Brian Wilson,Giants,6485
2010,Brandon Lyon,Astros,1312
2003,Curtis Leskanic,- - -,694
2004,Doug Brocail,Rangers,551
2008,Heath Bell,Padres,2080
2012,Chris Perez,Indians,5213
2006,Joel Zumaya,Tigers,4699
2009,Frank Francisco,Rangers,1933
2012,Wesley Wright,Astros,5960
2009,D.J. Carrasco,White Sox,1666
2012,Antonio Bastardo,Phillies,8844
2004,Scott Linebrink,Padres,564
2002,Dave Coggin,Phillies,951
2015,Andrew Chafin,Diamondbacks,12988
2007,Brian Tallet,Blue Jays,1646
2014,Ryan Cook,Athletics,8855
2002,Ramiro Mendoza,Yankees,836
2010,Javier Lopez,- - -,1663
2002,Steve Kline,Cardinals,1164
2013,Rex Brothers,Rockies,9794
2012,Luke Gregerson,Padres,4090
2006,Pedro Feliciano,Mets,1601
2011,Joel Peralta,Rays,2332
2008,Saul Rivera,Nationals,2027
2014,Jonathan Broxton,- - -,4759
2006,Joaquin Benoit,Rangers,1437
2014,Jason Grilli,- - -,521
2010,Daniel Bard,Red Sox,7115
2013,Jason Frasor,Rangers,1906
2014,T.J. McFarland,Orioles,3237
2007,Jon Rauch,Nationals,1475
2016,Dan Jennings,White Sox,8073
2007,Kevin Cameron,Padres,3523
2016,Tony Barnette,Rangers,3555
2010,Nick Masset,Reds,7267
2008,Jim Johnson,Orioles,3656
2009,Daniel Bard,Red Sox,7115
2014,Seth Maness,Cardinals,12235
2006,Jesse Crain,Twins,4817
2012,Jared Burton,Twins,8346
2008,Scott Downs,Blue Jays,773
2012,Nate Jones,White Sox,4696
