"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2016","Chris Devenski","Astros","3","2","1","43","0","83.2","8.93","1.29","0.32",".260","83.6 %","34.1 %","3.6 %","1.61","2.13","3.32","2.2","12763"
"2010","Matt Thornton","White Sox","5","4","8","61","0","60.2","12.02","2.97","0.45",".286","76.5 %","39.6 %","6.0 %","2.67","2.14","2.50","2.2","1918"
"2008","Jonathan Broxton","Dodgers","3","5","14","70","0","69.0","11.48","3.52","0.26",".315","67.7 %","44.5 %","3.8 %","3.13","2.26","2.90","2.2","4759"
"2014","Greg Holland","Royals","1","3","46","65","0","62.1","12.99","2.89","0.43",".268","83.3 %","48.1 %","6.7 %","1.44","1.83","2.10","2.2","7196"
"2007","Bobby Jenks","White Sox","3","5","40","66","0","65.0","7.75","1.80","0.28",".243","69.4 %","53.8 %","3.8 %","2.77","2.56","3.19","2.2","8645"
"2005","Juan Rincon","Twins","6","6","0","75","0","77.0","9.82","3.51","0.23",".305","75.1 %","47.2 %","3.2 %","2.45","2.46","3.25","2.2","752"
"2010","Billy Wagner","Braves","7","2","37","71","0","69.1","13.50","2.86","0.65",".246","87.5 %","37.8 %","8.3 %","1.43","2.10","2.22","2.2","578"
"2006","Mariano Rivera","Yankees","5","5","34","63","0","75.0","6.60","1.32","0.36",".265","83.8 %","53.9 %","4.5 %","1.80","2.84","3.56","2.2","844"
"2009","Heath Bell","Padres","6","4","42","68","0","69.2","10.21","3.10","0.39",".297","77.2 %","48.0 %","5.1 %","2.71","2.42","2.97","2.1","2080"
"2017","Mike Minor","Royals","6","6","6","65","0","77.2","10.20","2.55","0.58",".272","78.1 %","42.4 %","6.3 %","2.55","2.62","3.59","2.1","10021"
"2012","Greg Holland","Royals","7","4","16","67","0","67.0","12.22","4.57","0.27",".346","78.5 %","45.3 %","3.4 %","2.96","2.29","3.17","2.1","7196"
"2014","Kenley Jansen","Dodgers","2","3","44","68","0","65.1","13.91","2.62","0.69",".350","80.6 %","35.2 %","9.3 %","2.76","1.91","1.93","2.1","3096"
"2007","Joakim Soria","Royals","2","3","17","62","0","69.0","9.78","2.48","0.39",".250","74.4 %","39.2 %","4.3 %","2.48","2.50","3.19","2.1","6941"
"2015","Carson Smith","Mariners","2","5","13","70","0","70.0","11.83","2.83","0.26",".292","78.5 %","64.8 %","6.9 %","2.31","2.12","2.36","2.1","13172"
"2017","Felipe Rivero","Pirates","5","3","21","73","0","75.1","10.51","2.39","0.48",".234","79.5 %","52.9 %","7.5 %","1.67","2.47","3.03","2.1","12076"
"2004","Scot Shields","Angels","8","2","4","60","0","105.1","9.31","3.42","0.51",".307","74.5 %","55.6 %","7.2 %","3.33","2.94","3.32","2.1","35"
"2005","Billy Wagner","Phillies","4","3","38","75","0","77.2","10.08","2.32","0.70",".215","85.6 %","45.7 %","9.1 %","1.51","2.67","2.84","2.1","578"
"2008","Kerry Wood","Cubs","5","4","34","65","0","66.1","11.40","2.44","0.41",".311","73.5 %","38.8 %","4.6 %","3.26","2.32","3.02","2.1","304"
"2007","J.J. Putz","Mariners","6","1","40","68","0","71.2","10.30","1.63","0.75",".197","94.0 %","42.1 %","9.2 %","1.38","2.67","2.72","2.1","1795"
"2004","John Smoltz","Braves","0","1","44","73","0","81.2","9.37","1.43","0.88",".309","82.0 %","46.2 %","11.4 %","2.76","2.72","2.66","2.1","115"
"2015","Zach Britton","Orioles","4","1","36","64","0","65.2","10.83","1.92","0.41",".308","80.9 %","79.1 %","20.0 %","1.92","2.01","1.75","2.1","3240"
"2016","Kyle Barraclough","Marlins","6","3","0","75","0","72.2","14.00","5.45","0.12",".301","74.8 %","52.1 %","2.6 %","2.85","2.11","2.83","2.1","13713"
"2003","Guillermo Mota","Dodgers","6","3","1","76","0","105.0","8.49","2.23","0.60",".256","86.1 %","46.6 %","7.5 %","1.97","2.78","3.21","2.1","1467"
"2017","Archie Bradley","Diamondbacks","3","3","1","63","0","73.0","9.74","2.59","0.49",".276","88.2 %","47.8 %","7.4 %","1.73","2.61","3.21","2.1","12918"
"2012","David Hernandez","Diamondbacks","2","3","4","72","0","68.1","12.91","2.90","0.53",".291","77.2 %","31.4 %","5.6 %","2.50","2.08","2.85","2.1","4259"
"2015","Trevor Rosenthal","Cardinals","2","4","48","68","0","68.2","10.88","3.28","0.39",".337","85.9 %","45.8 %","4.8 %","2.10","2.42","3.19","2.1","10745"
"2003","Francisco Cordero","Rangers","5","8","15","73","0","82.2","9.80","4.14","0.44",".303","73.8 %","48.6 %","7.1 %","2.94","2.93","3.29","2.1","1243"
"2003","Tom Gordon","White Sox","7","6","12","66","0","74.0","11.07","3.77","0.49",".294","72.9 %","43.3 %","6.1 %","3.16","2.69","3.29","2.1","282"
"2007","Takashi Saito","Dodgers","2","1","39","63","0","64.1","10.91","1.82","0.70",".207","92.9 %","46.0 %","8.9 %","1.40","2.57","2.65","2.0","6021"
"2015","Andrew Miller","Yankees","3","2","36","60","0","61.2","14.59","2.92","0.73",".241","82.4 %","48.3 %","12.5 %","2.04","2.16","2.06","2.0","6785"
"2009","Luke Gregerson","Padres","2","4","1","72","0","75.0","11.16","3.72","0.36",".314","73.0 %","45.7 %","4.8 %","3.24","2.50","3.06","2.0","4090"
"2015","Ken Giles","Phillies","6","3","15","69","0","70.0","11.19","3.21","0.26",".311","75.4 %","44.8 %","3.3 %","1.80","2.13","3.05","2.0","12910"
"2007","Mariano Rivera","Yankees","3","4","30","67","0","71.1","9.34","1.51","0.50",".322","75.9 %","53.0 %","7.0 %","3.15","2.65","2.92","2.0","844"
"2009","Rafael Soriano","Braves","1","6","27","77","0","75.2","12.13","3.21","0.71",".275","77.1 %","30.6 %","7.3 %","2.97","2.54","2.93","2.0","1100"
"2016","Kelvin Herrera","Royals","2","6","12","72","0","72.0","10.75","1.50","0.75",".290","77.0 %","44.2 %","10.0 %","2.75","2.47","2.77","2.0","6033"
"2014","Mark Melancon","Pirates","3","5","33","72","0","71.0","9.00","1.39","0.25",".258","80.4 %","57.4 %","4.7 %","1.90","2.09","2.47","2.0","4264"
"2014","Steve Cishek","Marlins","4","5","39","67","0","65.1","11.57","2.89","0.41",".331","71.2 %","42.7 %","5.9 %","3.17","2.17","2.54","2.0","6483"
